member_id,loan_amnt,grade,sub_grade,home_ownership,verification_status,issue_d,loan_status,zip_code,addr_state
95222,5300,A,A5,MORTGAGE,Not Verified,01-07-2007,Fully Paid,461xx,IN
98268,5400,A,A3,RENT,Not Verified,01-07-2007,Fully Paid,306xx,GA
97572,5100,A,A5,RENT,Not Verified,01-07-2007,Fully Paid,469xx,IN
98957,5000,B,B2,RENT,Not Verified,01-07-2007,Fully Paid,222xx,VA
98991,5750,A,A2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,020xx,MA
100208,5000,A,A2,OWN,Not Verified,01-08-2007,Fully Paid,537xx,WI
100083,10000,C,C1,RENT,Not Verified,01-07-2007,Fully Paid,805xx,CO
95212,25000,C,C2,RENT,Not Verified,01-07-2007,Fully Paid,113xx,NY
106039,3500,B,B5,RENT,Not Verified,01-07-2007,Fully Paid,339xx,FL
106333,2700,F,F4,RENT,Not Verified,01-07-2007,Fully Paid,021xx,MA
107130,12250,C,C2,RENT,Not Verified,01-07-2007,Fully Paid,330xx,FL
109346,1200,C,C5,RENT,Not Verified,01-07-2007,Fully Paid,041xx,ME
111223,20000,E,E1,MORTGAGE,Not Verified,01-08-2007,Charged Off,331xx,FL
105982,12000,D,D3,OWN,Not Verified,01-08-2007,Fully Paid,334xx,FL
111912,6400,B,B4,RENT,Not Verified,01-08-2007,Fully Paid,535xx,WI
106279,12000,D,D1,RENT,Not Verified,01-08-2007,Fully Paid,112xx,NY
112227,5000,A,A2,RENT,Not Verified,01-07-2007,Fully Paid,547xx,WI
107671,3500,C,C1,RENT,Not Verified,01-07-2007,Fully Paid,021xx,MA
112493,3000,D,D1,MORTGAGE,Not Verified,01-08-2007,Fully Paid,479xx,IN
113146,3500,A,A4,RENT,Not Verified,01-08-2007,Fully Paid,070xx,NJ
113093,1000,C,C2,MORTGAGE,Not Verified,01-08-2007,Charged Off,245xx,VA
113115,3500,B,B5,RENT,Not Verified,01-08-2007,Fully Paid,070xx,NJ
116037,5000,B,B4,MORTGAGE,Not Verified,01-08-2007,Fully Paid,068xx,CT
116502,10000,E,E2,RENT,Not Verified,01-08-2007,Fully Paid,101xx,NY
117046,5000,A,A3,MORTGAGE,Not Verified,01-08-2007,Fully Paid,531xx,WI
116607,5000,A,A2,MORTGAGE,Not Verified,01-08-2007,Fully Paid,850xx,AZ
94256,7500,A,A4,MORTGAGE,Not Verified,01-08-2007,Fully Paid,023xx,MA
117849,8000,B,B5,RENT,Not Verified,01-08-2007,Fully Paid,210xx,MD
118519,6500,F,F1,MORTGAGE,Not Verified,01-08-2007,Charged Off,300xx,GA
117783,2500,B,B4,MORTGAGE,Not Verified,01-08-2007,Charged Off,685xx,NE
118026,2500,D,D4,MORTGAGE,Not Verified,01-08-2007,Charged Off,685xx,NE
119040,15450,C,C4,MORTGAGE,Not Verified,01-08-2007,Charged Off,201xx,VA
118760,4000,A,A2,RENT,Not Verified,01-08-2007,Fully Paid,080xx,NJ
119635,2000,B,B1,RENT,Not Verified,01-08-2007,Fully Paid,100xx,NY
120227,4000,C,C3,RENT,Not Verified,01-08-2007,Fully Paid,232xx,VA
121423,3000,A,A3,OWN,Not Verified,01-08-2007,Fully Paid,981xx,WA
121527,3000,A,A3,OWN,Not Verified,01-08-2007,Fully Paid,981xx,WA
121373,2800,B,B1,NONE,Not Verified,01-08-2007,Fully Paid,024xx,MA
121574,4000,B,B4,NONE,Not Verified,01-08-2007,Fully Paid,950xx,CA
121808,3000,B,B1,MORTGAGE,Not Verified,01-08-2007,Fully Paid,331xx,FL
120407,5400,D,D2,MORTGAGE,Not Verified,01-08-2007,Fully Paid,023xx,MA
122398,12750,F,F2,RENT,Not Verified,01-08-2007,Fully Paid,100xx,NY
104675,4000,A,A3,OWN,Not Verified,01-08-2007,Fully Paid,069xx,CT
122713,18500,F,F2,RENT,Not Verified,01-08-2007,Fully Paid,100xx,NY
120995,20000,B,B4,RENT,Not Verified,01-09-2007,Charged Off,112xx,NY
80353,3175,C,C5,OWN,Not Verified,01-08-2007,Charged Off,015xx,MA
124430,4800,C,C4,RENT,Not Verified,01-09-2007,Fully Paid,685xx,NE
125668,12125,B,B1,MORTGAGE,Not Verified,01-09-2007,Fully Paid,115xx,NY
124159,6625,C,C4,MORTGAGE,Not Verified,01-09-2007,Fully Paid,201xx,VA
126209,9500,A,A4,OWN,Not Verified,01-09-2007,Fully Paid,021xx,MA
125654,5000,A,A3,RENT,Not Verified,01-09-2007,Fully Paid,445xx,OH
125787,10000,C,C5,MORTGAGE,Not Verified,01-09-2007,Fully Paid,017xx,MA
125914,10000,A,A4,MORTGAGE,Not Verified,01-09-2007,Fully Paid,531xx,WI
126773,9500,A,A4,OWN,Not Verified,01-10-2007,Fully Paid,021xx,MA
126782,7500,B,B3,MORTGAGE,Not Verified,01-09-2007,Fully Paid,331xx,FL
85483,2000,A,A1,MORTGAGE,Not Verified,01-09-2007,Fully Paid,020xx,MA
127345,2850,D,D1,RENT,Not Verified,01-09-2007,Fully Paid,100xx,NY
127460,2125,F,F1,MORTGAGE,Not Verified,01-09-2007,Charged Off,282xx,NC
127500,10000,A,A4,MORTGAGE,Not Verified,01-11-2007,Fully Paid,024xx,MA
127525,17000,B,B3,RENT,Not Verified,01-09-2007,Fully Paid,104xx,NY
127716,10000,A,A4,MORTGAGE,Not Verified,01-11-2007,Fully Paid,024xx,MA
127824,8000,D,D2,MORTGAGE,Not Verified,01-09-2007,Charged Off,337xx,FL
127807,6500,C,C1,OWN,Not Verified,01-09-2007,Fully Paid,125xx,NY
128775,7000,D,D3,RENT,Not Verified,01-09-2007,Fully Paid,871xx,NM
129716,10000,C,C1,RENT,Not Verified,01-09-2007,Fully Paid,282xx,NC
130019,7250,C,C2,MORTGAGE,Not Verified,01-10-2007,Fully Paid,210xx,MD
130725,10250,E,E4,RENT,Not Verified,01-10-2007,Fully Paid,331xx,FL
130904,3775,A,A2,MORTGAGE,Not Verified,01-10-2007,Fully Paid,641xx,MO
130983,2100,A,A1,RENT,Not Verified,01-10-2007,Fully Paid,024xx,MA
129367,20000,F,F3,RENT,Not Verified,01-10-2007,Fully Paid,208xx,MD
113921,6000,C,C2,RENT,Not Verified,01-10-2007,Fully Paid,100xx,NY
131612,9000,C,C4,RENT,Not Verified,01-10-2007,Fully Paid,852xx,AZ
131639,6625,C,C4,RENT,Not Verified,01-10-2007,Fully Paid,980xx,WA
131769,7725,E,E2,RENT,Not Verified,01-10-2007,Charged Off,100xx,NY
130915,7200,E,E5,RENT,Not Verified,01-10-2007,Fully Paid,015xx,MA
132154,6000,C,C1,MORTGAGE,Not Verified,01-10-2007,Fully Paid,633xx,MO
132889,9000,D,D3,MORTGAGE,Not Verified,01-10-2007,Charged Off,207xx,MD
132940,5275,A,A2,MORTGAGE,Not Verified,01-10-2007,Fully Paid,286xx,NC
133259,4650,C,C1,MORTGAGE,Not Verified,01-10-2007,Charged Off,630xx,MO
133664,6625,C,C4,RENT,Not Verified,01-10-2007,Fully Paid,201xx,VA
134417,2525,D,D5,MORTGAGE,Not Verified,01-10-2007,Fully Paid,846xx,UT
135198,10000,C,C4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,462xx,IN
135591,5275,A,A4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,286xx,NC
136223,4300,C,C3,RENT,Not Verified,01-10-2007,Fully Paid,027xx,MA
136313,3025,C,C1,RENT,Not Verified,01-10-2007,Fully Paid,701xx,LA
136485,5000,D,D2,RENT,Not Verified,01-10-2007,Charged Off,210xx,MD
136631,8500,D,D3,MORTGAGE,Not Verified,01-10-2007,Fully Paid,210xx,MD
136922,25000,E,E4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,110xx,NY
137103,4275,C,C1,OWN,Not Verified,01-10-2007,Fully Paid,295xx,SC
136588,2100,D,D3,RENT,Not Verified,01-10-2007,Charged Off,287xx,NC
137952,8000,A,A5,RENT,Not Verified,01-10-2007,Fully Paid,100xx,NY
138075,8275,B,B2,MORTGAGE,Not Verified,01-10-2007,Fully Paid,290xx,SC
138553,3275,B,B3,MORTGAGE,Not Verified,01-10-2007,Fully Paid,286xx,NC
139053,5500,A,A4,RENT,Not Verified,01-10-2007,Fully Paid,296xx,SC
139245,1200,B,B5,OWN,Not Verified,01-10-2007,Fully Paid,662xx,KS
139779,3000,D,D3,RENT,Not Verified,01-10-2007,Charged Off,070xx,NJ
139887,10000,D,D4,RENT,Not Verified,01-10-2007,Fully Paid,354xx,AL
139977,12000,C,C3,MORTGAGE,Not Verified,01-10-2007,Charged Off,300xx,GA
140027,4000,B,B5,RENT,Not Verified,01-10-2007,Charged Off,070xx,NJ
140448,3000,B,B5,OWN,Not Verified,01-10-2007,Fully Paid,070xx,NJ
140555,2225,C,C2,RENT,Not Verified,01-10-2007,Charged Off,921xx,CA
139696,2825,B,B4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,371xx,TN
140897,8275,A,A4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,281xx,NC
141022,5275,B,B4,MORTGAGE,Not Verified,01-10-2007,Fully Paid,273xx,NC
141648,6225,C,C5,RENT,Not Verified,01-10-2007,Fully Paid,017xx,MA
141767,20000,D,D5,MORTGAGE,Not Verified,01-10-2007,Charged Off,088xx,NJ
142269,7000,C,C1,RENT,Not Verified,01-10-2007,Fully Paid,981xx,WA
74724,5000,C,C2,RENT,Not Verified,01-10-2007,Fully Paid,041xx,ME
139881,4800,C,C5,RENT,Not Verified,01-10-2007,Fully Paid,354xx,AL
142718,25000,B,B2,MORTGAGE,Not Verified,01-11-2007,Fully Paid,980xx,WA
142781,4925,B,B5,MORTGAGE,Not Verified,01-10-2007,Fully Paid,223xx,VA
143098,3000,C,C1,RENT,Not Verified,01-10-2007,Fully Paid,700xx,LA
128262,8000,C,C5,RENT,Not Verified,01-11-2007,Fully Paid,038xx,NH
143201,12375,C,C3,MORTGAGE,Not Verified,01-11-2007,Fully Paid,222xx,VA
144575,9850,A,A3,RENT,Not Verified,01-11-2007,Fully Paid,100xx,NY
144623,25000,D,D4,MORTGAGE,Not Verified,01-11-2007,Charged Off,341xx,FL
138910,8275,C,C2,MORTGAGE,Not Verified,01-11-2007,Charged Off,287xx,NC
146626,8000,D,D1,RENT,Not Verified,01-11-2007,Fully Paid,840xx,UT
146655,25000,B,B4,MORTGAGE,Not Verified,01-11-2007,Fully Paid,571xx,SD
146834,15450,C,C3,RENT,Not Verified,01-11-2007,Charged Off,986xx,WA
148467,10000,B,B2,MORTGAGE,Not Verified,01-11-2007,Charged Off,117xx,NY
149552,10000,A,A5,RENT,Not Verified,01-11-2007,Fully Paid,294xx,SC
149751,4000,C,C3,RENT,Not Verified,01-11-2007,Fully Paid,323xx,FL
150893,7000,C,C2,MORTGAGE,Not Verified,01-11-2007,Fully Paid,853xx,AZ
151580,19950,B,B5,MORTGAGE,Not Verified,01-11-2007,Fully Paid,018xx,MA
151590,1500,E,E5,RENT,Not Verified,01-11-2007,Fully Paid,215xx,MD
151597,18000,B,B2,MORTGAGE,Not Verified,01-11-2007,Fully Paid,300xx,GA
152282,4800,A,A3,RENT,Not Verified,01-11-2007,Fully Paid,770xx,TX
152635,3000,B,B5,RENT,Not Verified,01-11-2007,Fully Paid,201xx,VA
153018,3000,A,A1,MORTGAGE,Not Verified,01-11-2007,Fully Paid,981xx,WA
152600,5875,C,C3,MORTGAGE,Not Verified,01-11-2007,Fully Paid,231xx,VA
147832,18000,C,C5,RENT,Not Verified,01-11-2007,Fully Paid,330xx,FL
153428,12000,C,C3,RENT,Not Verified,01-11-2007,Fully Paid,021xx,MA
154129,5000,A,A3,MORTGAGE,Not Verified,01-11-2007,Fully Paid,323xx,FL
151536,4800,C,C1,RENT,Not Verified,01-11-2007,Fully Paid,226xx,VA
154264,15000,C,C1,RENT,Not Verified,01-11-2007,Fully Paid,981xx,WA
154295,3600,C,C1,RENT,Not Verified,01-11-2007,Fully Paid,027xx,MA
154761,6800,C,C4,RENT,Not Verified,01-11-2007,Charged Off,088xx,NJ
155777,4800,A,A3,RENT,Not Verified,01-11-2007,Fully Paid,394xx,LA
155549,6400,C,C5,RENT,Not Verified,01-11-2007,Fully Paid,100xx,NY
156396,6000,A,A2,MORTGAGE,Not Verified,01-11-2007,Fully Paid,197xx,DE
156838,24750,B,B3,RENT,Not Verified,01-11-2007,Fully Paid,113xx,NY
157162,25000,B,B2,MORTGAGE,Not Verified,01-11-2007,Charged Off,328xx,FL
157765,4000,B,B1,RENT,Not Verified,01-12-2007,Fully Paid,770xx,TX
158286,9000,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,110xx,NY
158450,12375,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,201xx,VA
154318,12000,D,D1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,079xx,NJ
159644,5750,A,A2,RENT,Not Verified,01-12-2007,Fully Paid,024xx,MA
159659,900,C,C1,RENT,Not Verified,01-11-2007,Charged Off,320xx,FL
160991,12950,B,B5,MORTGAGE,Not Verified,01-12-2007,Fully Paid,201xx,VA
163621,4000,C,C2,RENT,Not Verified,01-12-2007,Fully Paid,985xx,WA
163445,3000,C,C4,MORTGAGE,Not Verified,01-12-2007,Fully Paid,300xx,GA
163835,500,A,A4,RENT,Not Verified,01-11-2007,Fully Paid,112xx,NY
164738,16000,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,100xx,NY
153157,17600,B,B1,RENT,Not Verified,01-12-2007,Fully Paid,232xx,VA
166419,9600,C,C4,RENT,Not Verified,01-12-2007,Fully Paid,027xx,MA
163941,16000,C,C5,RENT,Not Verified,01-12-2007,Charged Off,331xx,FL
166498,3000,A,A2,RENT,Not Verified,01-11-2007,Fully Paid,212xx,MD
163526,6500,A,A3,OWN,Not Verified,01-12-2007,Fully Paid,279xx,NC
166429,5000,D,D1,OWN,Not Verified,01-12-2007,Charged Off,322xx,FL
167147,4900,C,C1,RENT,Not Verified,01-12-2007,Charged Off,146xx,NY
167144,15000,C,C1,RENT,Not Verified,01-12-2007,Fully Paid,079xx,NJ
167573,10000,B,B5,RENT,Not Verified,01-12-2007,Charged Off,322xx,FL
163382,10000,B,B1,RENT,Not Verified,01-12-2007,Fully Paid,820xx,WY
166657,11300,D,D2,RENT,Not Verified,01-12-2007,Fully Paid,473xx,IN
167970,18000,D,D2,MORTGAGE,Not Verified,01-12-2007,Fully Paid,801xx,CO
168175,3975,D,D2,RENT,Not Verified,01-12-2007,Charged Off,142xx,NY
168212,25000,D,D1,RENT,Not Verified,01-12-2007,Fully Paid,860xx,AZ
153468,18500,C,C3,MORTGAGE,Not Verified,01-12-2007,Fully Paid,296xx,SC
168673,17000,B,B1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,301xx,GA
169334,5400,B,B3,OWN,Not Verified,01-12-2007,Fully Paid,368xx,AL
157525,18500,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,981xx,WA
142952,9000,B,B5,RENT,Not Verified,01-12-2007,Fully Paid,110xx,NY
164864,16000,D,D1,OWN,Not Verified,01-12-2007,Charged Off,301xx,GA
165737,5000,B,B1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,330xx,FL
165069,12000,C,C2,MORTGAGE,Not Verified,01-12-2007,Fully Paid,658xx,MO
170462,9000,D,D3,MORTGAGE,Not Verified,01-12-2007,Fully Paid,146xx,NY
170849,20000,C,C5,MORTGAGE,Not Verified,01-12-2007,Charged Off,282xx,NC
171282,7000,A,A2,RENT,Not Verified,01-12-2007,Fully Paid,402xx,KY
172641,12000,C,C1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,841xx,UT
171004,5000,B,B1,RENT,Not Verified,01-12-2007,Fully Paid,070xx,NJ
173017,9600,D,D2,RENT,Not Verified,01-12-2007,Charged Off,801xx,CO
173944,3200,C,C1,RENT,Not Verified,01-12-2007,Fully Paid,984xx,WA
174280,4800,B,B4,MORTGAGE,Not Verified,01-12-2007,Fully Paid,366xx,AL
174986,20000,C,C2,MORTGAGE,Not Verified,01-12-2007,Fully Paid,356xx,AL
175123,2400,E,E2,RENT,Not Verified,01-12-2007,Fully Paid,086xx,NJ
173899,7500,B,B2,RENT,Not Verified,01-12-2007,Fully Paid,337xx,FL
174945,10000,D,D4,RENT,Not Verified,01-12-2007,Fully Paid,535xx,WI
176043,2800,D,D2,MORTGAGE,Not Verified,01-12-2007,Charged Off,146xx,NY
176187,3000,B,B3,RENT,Not Verified,01-12-2007,Fully Paid,040xx,ME
152731,2975,B,B5,RENT,Not Verified,01-12-2007,Fully Paid,474xx,IN
176612,16500,D,D4,RENT,Not Verified,01-12-2007,Fully Paid,117xx,NY
176989,25000,E,E4,MORTGAGE,Not Verified,01-12-2007,Charged Off,816xx,CO
177072,15000,A,A5,RENT,Not Verified,01-12-2007,Fully Paid,282xx,NC
154006,17950,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,980xx,WA
171100,15000,B,B4,MORTGAGE,Not Verified,01-12-2007,Fully Paid,136xx,NY
177995,14400,D,D4,RENT,Not Verified,01-12-2007,Charged Off,689xx,NE
178070,12000,D,D2,RENT,Not Verified,01-12-2007,Fully Paid,331xx,FL
176992,7000,D,D1,RENT,Not Verified,01-12-2007,Fully Paid,074xx,NJ
175577,25000,B,B4,MORTGAGE,Not Verified,01-01-2008,Charged Off,082xx,NJ
178968,9325,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,220xx,VA
179879,25000,D,D3,MORTGAGE,Not Verified,01-12-2007,Fully Paid,123xx,NY
177903,4000,A,A3,RENT,Not Verified,01-12-2007,Fully Paid,284xx,NC
180337,3500,C,C1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,336xx,FL
180561,24625,E,E3,MORTGAGE,Not Verified,01-12-2007,Fully Paid,141xx,NY
180658,25000,C,C3,MORTGAGE,Not Verified,01-12-2007,Charged Off,335xx,FL
170292,22550,F,F4,MORTGAGE,Not Verified,01-12-2007,Fully Paid,465xx,IN
178271,18000,B,B3,RENT,Not Verified,01-12-2007,Fully Paid,117xx,NY
171765,12000,D,D5,RENT,Not Verified,01-12-2007,Fully Paid,111xx,NY
181614,5000,D,D4,RENT,Not Verified,01-12-2007,Fully Paid,146xx,NY
182083,21000,B,B5,MORTGAGE,Not Verified,01-12-2007,Fully Paid,301xx,GA
182441,4000,C,C5,RENT,Not Verified,01-12-2007,Fully Paid,329xx,FL
182527,8800,B,B3,OWN,Not Verified,01-12-2007,Fully Paid,070xx,NJ
182839,25000,B,B4,RENT,Not Verified,01-12-2007,Fully Paid,474xx,IN
179703,15450,C,C3,RENT,Not Verified,01-12-2007,Fully Paid,060xx,CT
183930,5800,A,A2,RENT,Not Verified,01-12-2007,Fully Paid,232xx,VA
184146,25000,B,B3,RENT,Not Verified,01-12-2007,Charged Off,100xx,NY
183619,10000,B,B3,MORTGAGE,Not Verified,01-12-2007,Charged Off,323xx,FL
184901,1000,B,B4,RENT,Not Verified,01-12-2007,Fully Paid,474xx,IN
105254,6000,B,B4,RENT,Not Verified,01-12-2007,Fully Paid,208xx,MD
185669,22350,E,E3,OWN,Not Verified,01-12-2007,Charged Off,100xx,NY
186347,1000,A,A1,MORTGAGE,Not Verified,01-12-2007,Fully Paid,941xx,CA
186568,12000,B,B2,MORTGAGE,Not Verified,01-12-2007,Fully Paid,604xx,IL
184693,9000,D,D3,RENT,Not Verified,01-12-2007,Charged Off,070xx,NJ
186773,20000,E,E4,RENT,Not Verified,01-12-2007,Fully Paid,115xx,NY
187430,10000,B,B4,RENT,Not Verified,01-12-2007,Fully Paid,926xx,CA
187665,25000,E,E5,RENT,Not Verified,01-12-2007,Charged Off,920xx,CA
129893,8000,A,A4,RENT,Not Verified,01-12-2007,Fully Paid,606xx,IL
179800,2800,A,A2,RENT,Not Verified,01-12-2007,Fully Paid,349xx,FL
178126,2000,A,A3,RENT,Not Verified,01-12-2007,Charged Off,285xx,NC
190819,25000,E,E2,RENT,Not Verified,01-01-2008,Charged Off,329xx,FL
191003,7500,C,C2,RENT,Not Verified,01-12-2007,Fully Paid,031xx,NH
187320,20000,E,E4,RENT,Not Verified,01-01-2008,Fully Paid,902xx,CA
191813,20000,C,C4,RENT,Not Verified,01-12-2007,Fully Paid,871xx,NM
190578,16000,D,D4,RENT,Not Verified,01-01-2008,Fully Paid,902xx,CA
187731,10000,B,B4,RENT,Not Verified,01-01-2008,Fully Paid,208xx,MD
189776,12000,B,B5,MORTGAGE,Not Verified,01-01-2008,Fully Paid,774xx,TX
191101,10000,A,A5,RENT,Not Verified,01-01-2008,Fully Paid,927xx,CA
193526,9000,C,C2,RENT,Not Verified,01-01-2008,Fully Paid,981xx,WA
192688,4000,A,A4,RENT,Not Verified,01-01-2008,Fully Paid,708xx,LA
194314,12000,B,B3,RENT,Not Verified,01-01-2008,Fully Paid,917xx,CA
194653,15450,E,E1,RENT,Not Verified,01-01-2008,Fully Paid,640xx,MO
194605,6000,D,D2,MORTGAGE,Not Verified,01-01-2008,Fully Paid,101xx,NY
193651,18000,B,B3,OWN,Not Verified,01-01-2008,Fully Paid,756xx,TX
196018,3000,B,B2,RENT,Not Verified,01-01-2008,Fully Paid,980xx,WA
196134,15000,B,B2,RENT,Not Verified,01-01-2008,Fully Paid,927xx,CA
188466,11000,A,A4,RENT,Not Verified,01-01-2008,Fully Paid,908xx,CA
189204,4725,C,C4,RENT,Not Verified,01-01-2008,Charged Off,950xx,CA
194436,20000,B,B5,RENT,Not Verified,01-01-2008,Fully Paid,212xx,MD
185681,3000,A,A1,MORTGAGE,Not Verified,01-01-2008,Fully Paid,973xx,OR
188413,9500,B,B5,RENT,Not Verified,01-01-2008,Fully Paid,802xx,CO
194670,4350,C,C5,RENT,Not Verified,01-01-2008,Fully Paid,917xx,CA
196900,9000,B,B4,MORTGAGE,Not Verified,01-01-2008,Charged Off,207xx,MD
197013,2750,B,B3,MORTGAGE,Not Verified,01-01-2008,Charged Off,207xx,MD
197115,12000,B,B2,RENT,Not Verified,01-01-2008,Fully Paid,112xx,NY
197348,6000,C,C4,RENT,Not Verified,01-01-2008,Fully Paid,770xx,TX
164764,2675,A,A4,RENT,Not Verified,01-01-2008,Fully Paid,440xx,OH
197950,15000,B,B4,OWN,Not Verified,01-01-2008,Fully Paid,530xx,WI
197938,7850,B,B5,RENT,Not Verified,01-01-2008,Fully Paid,975xx,OR
198937,2500,A,A2,MORTGAGE,Not Verified,01-01-2008,Fully Paid,281xx,NC
197916,3000,B,B4,OWN,Not Verified,01-01-2008,Fully Paid,300xx,GA
199451,8000,B,B5,RENT,Not Verified,01-02-2008,Charged Off,900xx,CA
199555,4000,A,A2,MORTGAGE,Not Verified,01-01-2008,Fully Paid,708xx,LA
199865,2000,D,D4,RENT,Not Verified,01-01-2008,Fully Paid,782xx,TX
200251,12000,D,D4,RENT,Not Verified,01-01-2008,Charged Off,802xx,CO
200597,7500,B,B3,RENT,Not Verified,01-01-2008,Fully Paid,904xx,CA
200788,5000,E,E1,RENT,Not Verified,01-01-2008,Charged Off,900xx,CA
200841,9325,A,A5,RENT,Not Verified,01-01-2008,Fully Paid,532xx,WI
200892,9400,D,D4,MORTGAGE,Not Verified,01-01-2008,Fully Paid,132xx,NY
197188,2000,B,B1,MORTGAGE,Not Verified,01-01-2008,Fully Paid,530xx,WI
201440,7000,A,A2,MORTGAGE,Not Verified,01-01-2008,Fully Paid,910xx,CA
