id,revol_bal,total_acc,total_pymnt,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
180535,3761,27,4082.244935,01-12-2010,113.99,01-12-2010
180614,33698,24,30328.54577,01-12-2010,845.47,01-05-2016
180675,3472,63,13650.38,01-03-2009,817.41,01-05-2016
180712,14534,22,15179.28358,01-12-2010,435.85,01-12-2010
181036,6703,22,20705.86129,01-12-2010,580.97,01-12-2010
181590,5861,16,14580.70226,01-12-2010,407.18,01-12-2010
181701,5061,6,5914.503029,01-12-2009,2054.79,01-02-2010
182089,16888,40,24379.7862,01-12-2010,678.74,01-12-2015
182554,463,9,4747.534251,01-11-2010,15.13,01-03-2016
182589,0,13,10131.52284,01-11-2010,11.4,01-11-2010
182845,8283,39,26630.20565,01-09-2008,20210.86,01-11-2013
183801,46525,10,18185.5444,01-12-2010,506.84,01-11-2015
183936,2650,18,6413.832389,01-04-2010,253.09,01-04-2010
184296,17,15,12982.48,01-06-2009,898.85,01-05-2016
184562,827,22,2609.48,01-07-2008,319.54,01-01-2009
184908,961,7,1170.657129,01-01-2011,1.43,01-01-2011
185352,1554,4,6933.194512,01-12-2010,193.55,01-12-2010
185684,10753,15,14318.87,01-07-2009,764.64,01-07-2015
186499,2227,37,1110.813028,01-08-2010,185.8,
186572,7606,39,12347.21988,01-05-2008,11202.55,01-10-2015
186652,8355,12,10817.03,01-05-2010,200.22,01-05-2016
186840,27293,14,24740.98049,01-12-2010,693.79,01-12-2010
187464,10157,20,11555.4033,01-12-2010,325.23,01-12-2010
187671,4209,12,8654.61,01-10-2008,862.97,01-10-2009
188937,0,42,8110.596545,01-04-2008,609.58,01-02-2011
189379,1773,15,2912.210708,01-08-2008,2391.23,01-07-2008
190811,949,8,1111.46,01-06-2009,62.45,01-05-2016
190846,12308,12,7661.88,01-10-2008,851.41,01-05-2016
191006,7914,11,8802.18,01-01-2011,236.1,01-12-2010
191730,9150,22,24740.97669,01-01-2011,697.12,01-07-2014
192239,21777,14,22583.26677,01-07-2009,9417.16,01-03-2010
192299,4281,19,19362.44821,01-11-2010,1602.87,01-11-2014
192311,4475,10,10994.76631,01-04-2009,6502.24,01-06-2009
192616,25413,26,13865.29434,01-07-2010,2645.13,01-02-2015
193452,15043,25,11344.30276,01-01-2011,331.48,01-03-2016
193586,6353,8,10544.50197,01-01-2011,294.86,01-03-2013
193630,3737,11,4442.805382,01-12-2009,1685.2,01-11-2009
194565,11370,22,13800.92888,01-12-2010,771.89,01-11-2011
194762,18403,9,17924.18663,01-07-2009,9021.97,01-07-2009
195618,19504,11,7103.957781,01-05-2010,4.12,01-05-2010
195655,10463,63,20705.85042,01-01-2011,578.4,01-06-2012
196027,2808,7,3432.784025,01-12-2010,5.95,01-12-2010
196148,6297,36,17163.96246,01-10-2010,1902.2,01-10-2010
196380,33060,23,12246.55873,01-02-2010,9.87,01-02-2010
196428,4500,7,3793.02,01-08-2009,155.19,01-05-2016
196521,2344,9,21710.02702,01-06-2009,2860.41,01-06-2009
196559,2907,18,3335.229263,01-10-2010,9.61,01-10-2010
196574,26218,26,10959.49476,01-06-2010,2383.46,01-06-2010
196863,5967,10,5158.918623,01-11-2010,10.36,01-04-2011
196910,27786,16,7509.82,01-03-2010,288.89,01-05-2016
197019,27786,16,2092.44,01-12-2009,100.22,01-05-2016
197225,7335,19,13783.56639,01-01-2011,770.54,01-05-2016
197360,0,8,7094.10262,01-01-2011,198.7,01-04-2016
197558,19210,25,3020.761194,01-01-2011,84.87,01-01-2011
197959,11601,6,17333.13847,01-01-2011,484.25,01-05-2016
198285,991,17,9167.490701,01-11-2010,18.67,01-11-2010
198952,141287,44,2573.52762,01-06-2008,2263.15,01-08-2008
199055,199,15,3491.952643,01-01-2011,98.84,01-05-2016
199486,63580,19,3936.06,01-05-2009,325.38,01-10-2009
199575,773,31,4095.399215,01-05-2008,3722.88,01-12-2007
199889,1042,16,2390.717595,01-08-2010,77.64,01-07-2014
200256,137,11,13842.17,01-11-2010,406.07,01-04-2011
200600,1944,11,8690.585118,01-01-2011,247.31,01-05-2016
200805,16613,21,1878.56,01-11-2008,170.72,01-10-2009
200886,0,7,10578.56423,01-01-2011,300.6,01-01-2011
200912,5181,41,11495.17317,01-03-2011,204.17,01-03-2011
201285,597,21,2296.2633,01-01-2011,75.48,01-11-2013
201479,3202,76,7830.662309,01-01-2011,228.16,01-01-2011
201909,46086,10,24038.21873,01-01-2011,671.6,01-11-2015
202270,9380,24,1084.63,01-08-2008,133.55,01-04-2016
202379,35944,21,15160.90083,01-01-2011,424.78,01-01-2011
202406,0,9,12237.55048,01-01-2011,347.92,01-04-2016
202712,7973,33,13158.27006,01-01-2011,370.09,01-01-2011
202720,8522,16,10741.74719,01-02-2009,6980.96,01-02-2009
203367,62976,30,31565.86822,01-01-2011,894.15,01-01-2011
203424,7429,9,11411.55436,01-02-2011,336.72,01-02-2011
203532,639,4,3505.1,01-06-2008,701.12,01-12-2009
203554,14903,48,17459.75629,01-01-2011,487.31,01-07-2015
204428,2923,16,4807.629375,01-01-2011,137.6,01-07-2011
204576,18314,32,11809.38286,01-05-2008,10723.02,01-12-2007
206181,150,5,3862.93163,01-04-2010,5.54,01-04-2016
206360,0,3,8653.732987,01-01-2011,244.62,01-05-2016
206839,2475,32,2192.734085,01-10-2009,953.47,01-04-2016
207148,1489,4,2382.281123,01-01-2011,73,01-04-2016
207387,15368,6,11852.09877,01-01-2011,335.91,01-02-2011
207910,21521,20,2507.503437,01-02-2010,69.14,01-05-2016
208191,4781,21,5011.52,01-05-2009,313.3,01-05-2016
208594,8473,29,11657.50259,01-02-2010,3755.3,01-04-2016
208728,8494,13,10356.20856,01-03-2010,3338.15,01-03-2014
208827,11333,24,11344.3046,01-01-2011,320.57,01-01-2011
209349,9366,8,7308.94,01-10-2010,225.86,01-04-2016
209392,4922,13,2268.427808,01-01-2011,8.63,01-01-2011
209581,23129,19,3837.48,01-07-2008,536.57,01-01-2009
210194,29736,20,4546.311329,01-01-2011,127.74,01-05-2016
210287,67232,30,6920.103618,01-01-2011,193.32,01-04-2015
210778,0,6,3329.38039,01-06-2009,24.97,01-07-2014
210784,11496,20,11454.74588,01-01-2011,120.89,01-03-2015
210884,6999,5,8223.879531,01-01-2011,231.24,01-04-2016
211126,4863,6,2558.352222,01-12-2009,959.43,01-02-2010
211133,12229,15,582.5816055,01-07-2009,255.57,01-07-2009
211586,2325,7,4301.985404,01-04-2009,2679.13,01-04-2009
211723,14653,8,2135.14,01-08-2008,262.26,01-12-2009
211860,4286,9,8508.228536,01-01-2011,249.67,01-11-2012
212737,8009,17,9591.804505,01-03-2011,20.55,01-03-2011
212894,2353,7,1708.74,01-05-2009,101.47,01-12-2009
213020,6634,29,7817.990752,01-05-2010,1917.74,01-02-2014
213427,0,11,1375.913459,01-02-2010,446.66,01-06-2010
213551,5608,10,8891.963908,01-01-2011,248.61,01-01-2011
213732,13649,17,6119.25,01-09-2008,673.79,01-10-2009
213846,9973,28,2493.66127,01-03-2008,2414.08,01-11-2010
214363,16502,17,17971.19376,01-02-2011,501.05,01-01-2011
214388,15773,16,9689.47,01-04-2009,698.92,01-05-2016
214572,3326,13,28495.61291,01-03-2010,8473.6,01-03-2010
214968,7263,9,10428.70728,01-01-2011,297.88,01-04-2016
215142,3451,10,9529.172183,01-01-2011,279.69,01-01-2011
215531,16770,22,4192.553113,01-12-2010,88.99,01-03-2015
215577,17042,10,10573.56634,01-01-2011,301.72,01-01-2011
215865,10686,32,20282.04132,01-01-2011,567.29,01-10-2014
215897,45,10,11325.28305,01-03-2010,3679.27,01-02-2010
216013,3247,7,8304.095376,01-01-2011,232.08,01-08-2015
216083,27839,25,23176.0234,01-10-2008,17339.91,01-10-2008
216181,0,18,11239.64283,01-01-2011,314.2,01-01-2011
216508,17246,48,9034.177378,01-01-2011,260.83,01-01-2011
216540,14036,21,18521.53614,01-01-2011,521.82,01-12-2013
216698,5643,28,526.3322407,01-11-2008,180.61,01-12-2008
216940,17850,36,13399.6738,01-01-2011,373.21,01-05-2016
217041,8382,20,11242.19229,01-10-2009,4835.56,01-08-2014
217100,24280,38,18069.3712,01-09-2010,2448.29,01-12-2010
217118,8375,9,14886.31569,01-01-2011,415.69,01-01-2011
217723,6437,19,17459.75711,01-01-2011,489.14,01-01-2011
217788,16890,29,11075.3578,01-01-2011,310.73,01-02-2013
217987,887,5,4699.377677,01-01-2011,134.81,01-01-2011
218282,17771,20,3704.86,01-12-2008,370.59,01-05-2016
218325,13115,22,17127.72395,01-08-2008,13894.32,01-08-2008
218331,5028,4,7985.41,01-03-2010,640.05,01-07-2010
218343,1,8,1517.66,01-11-2009,140.34,01-03-2010
218680,10251,11,15837.04533,01-12-2010,4.95,01-11-2010
219000,6566,36,6320.252182,01-01-2011,376.23,01-01-2011
219070,9516,21,6981.616732,01-09-2010,14.2,01-09-2010
219178,2126,8,5956.081936,01-03-2011,5.38,01-02-2011
219315,7209,30,3247.74,01-10-2008,406.07,01-05-2016
219425,7180,37,2041.95,01-02-2010,82.71,01-04-2016
219967,7386,11,6806.118745,01-02-2011,189.5,01-05-2016
220023,6035,47,2053.046429,01-09-2010,3.53,01-08-2010
220873,28653,16,5232.92,01-07-2009,100.29,01-12-2009
221264,49459,45,17877.41305,01-10-2012,576.87,01-10-2012
221301,22738,37,24252.07319,01-01-2009,16875.62,01-01-2009
222179,24406,51,5860.77,01-09-2009,306.18,01-05-2016
222488,25946,32,20965.61911,01-03-2010,1.62,01-03-2010
222492,0,20,22075.41171,01-10-2011,457.35,01-11-2011
222829,4765,32,16608.25963,01-02-2011,461.98,01-02-2016
223015,15222,16,30303.20243,01-02-2011,852.07,01-05-2016
223308,8035,24,8826.723137,01-02-2011,262.84,01-02-2011
223345,14214,21,6789.28,01-04-2009,452.67,01-05-2016
223626,23442,28,23388.13123,01-02-2011,651.26,01-09-2012
223992,101443,43,8144.508608,01-09-2010,1344.08,01-09-2010
224210,25988,24,17913.07722,01-12-2010,3.98,01-02-2014
224381,51039,33,32241.16,01-07-2010,880.88,01-11-2010
224541,23370,23,21073.33692,01-07-2008,17780.31,01-01-2014
224614,119420,26,8336.311783,01-02-2011,237.97,01-01-2016
224894,0,8,9252.222945,01-08-2010,8.07,01-05-2016
224984,15564,7,5650.292855,01-10-2010,781.17,01-10-2014
225054,13686,28,10816.7109,01-02-2011,256.11,01-09-2014
225812,6921,27,23208.16065,01-08-2010,84.32,01-07-2010
225897,4220,5,4626.141666,01-08-2010,15.37,01-07-2010
226154,29877,44,6145.854768,01-02-2011,177.49,01-01-2011
226735,21573,26,810.16,01-10-2008,101.52,01-05-2016
226780,18316,14,4785.98,01-06-2009,400.22,01-05-2016
227383,1458,27,12202.10933,01-02-2011,404.57,01-01-2011
227538,3179,10,13777.70649,01-02-2011,385.05,01-01-2011
227568,4365,12,13660.10174,01-01-2009,9628.44,01-01-2010
227773,209,34,11014.83429,01-02-2011,306.93,01-04-2015
228424,12573,29,24507.02701,01-09-2011,142.14,01-08-2011
228892,806,20,9228.56,01-12-2008,795.72,01-11-2009
228923,4134,25,7796.54,01-05-2009,491.73,01-11-2009
229276,0,12,17863.54136,01-02-2011,501.2,01-03-2016
229565,22157,12,8223.877074,01-02-2011,233.16,01-06-2015
229930,54925,27,29184.8668,01-05-2010,7882.11,01-05-2016
230185,50908,34,9398.755128,01-02-2011,261.9,01-01-2011
230545,16164,46,2958.620897,01-12-2010,189.02,01-01-2011
231005,14046,21,8586.59,01-05-2008,278.22,01-05-2016
231321,4767,22,11239.62089,01-02-2011,313.59,01-01-2011
231540,23882,25,2134.066814,01-02-2011,62.63,01-01-2011
231935,674,5,13462.15692,01-07-2010,9.8,01-06-2010
